Track,Album Name,Artist,ISRC,image_url
I'm Good (Blue),I'm Good (Blue),David Guetta,UKWLG2200055,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
Daylight,Daylight,David Kushner,QZXDB2300005,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,USJ5G2335007,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
Please Please Please,Please Please Please,Sabrina Carpenter,USUM72404101,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e
Houdini,Houdini - Single,Dua Lipa,GBAHT2301246,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,TCJPA2415647,https://i.scdn.co/image/ab67616d0000b273be68e2d0e4b5694163328efb
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,GBUM72300969,https://i.scdn.co/image/ab67616d0000b2731fc63c898797e3dbf04ad611
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,USUM71607007,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
euphoria,euphoria,Kendrick Lamar,USUG12402839,https://i.scdn.co/image/ab67616d0000b2737587213b1be294ac4000f648
Panda Basi,Panda Basi - EP,Mvua,GX3Q92333626,https://i.scdn.co/image/ab67616d0000b27341e70f8cdd385ab8a0dfe08b
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,NGA3B2214021,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf
Shape of You,Shape of You,Ed Sheeran,GBAHS1600463,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Mitu,Mitu - Single,Maian,EEUM72300001,https://i.scdn.co/image/ab67616d0000b273bc6d9e7f0a204f67f8f5d861
Blinding Lights,Blinding Lights,The Weeknd,USUG11904206,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,USUG12208791,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89
Dona Felicidade,Dona Felicidade,Patati Patatï¿,QZNJW2423715,https://i.scdn.co/image/ab67616d0000b27333b8a87a14a06ddf5bb60a15
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,TCJPA2420090,https://i.scdn.co/image/ab67616d0000b273be68e2d0e4b5694163328efb
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,GBUM72205415,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,ROCMA2413380,https://i.scdn.co/image/ab67616d0000b273b2a5223b016000dfdaaf68cf
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,RUA1H2406425,
Supernova,Supernova,aespa,KRA302400090,https://i.scdn.co/image/ab67616d0000b273090cfa22962b115ac530674c
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,QM6MZ2214877,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,USCM52400059,https://i.scdn.co/image/ab67616d0000b27325a4c4a2477f3b89d7e96601
Calm Down,Calm Down,Rema,NGA3B2214004,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf
CARNIVAL,CARNIVAL,ýý$,QZ7XS2400012,https://i.scdn.co/image/ab67616d0000b273723f07133c42dd8191e62f27
Kill Bill,SOS,SZA,USRC12204584,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,USUM72307484,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,QZA742305720,https://i.scdn.co/image/ab67616d0000b2737036ea4287056b06980d8fd8
Heat Waves,Heat Waves,Glass Animals,GBUM72000433,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
In the End,Papercuts,Linkin Park,USWB11201322,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,UYB282301031,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
The Way We Move - Extended Mix,The Way We Move,PowerDress,UKACT2330463,https://i.scdn.co/image/ab67616d0000b2731f0470e0d8b4dcbedc9f2f0a
Old Town Road,Old Town Road,Lil Nas X,USSM11901941,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a
un x100to,un x100to,Grupo Frontera,QM6N22311285,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,NZAM02001128,
Sprinter,Sprinter - Single,Dave,GBUM72305159,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,USUM72401988,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
TQG,TQG,KAROL G,USUM72222541,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
Perfect,ýý (Deluxe),Ed Sheeran,GBAHS1700024,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Pepas,Pepas,Farruko,USSD12100307,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad
Peekaboo,Glide - Single,Dave Angel,GBLTF2300027,https://i.scdn.co/image/ab67616d0000b27343fd2cd3b19fdbba928f054d
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,USE7D2300007,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,USAT22305457,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,MXF152300159,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
redrum,american dream,21 Savage,USSM12309164,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Easy On Me,Easy On Me,Adele,USSM12105970,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,QM6MZ2214878,
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,USQX92302957,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
Anti-Hero,Midnights,Taylor Swift,USUG12205736,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,UYB282201028,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
Magnetic,SUPER REAL ME,ILLIT,USA2P2413259,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,USSD12300307,https://i.scdn.co/image/ab67616d0000b273d47a89d4d4a517886d45b5f6
La Diabla,La Diabla - Single,Xavi,USA2P2357356,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,GBAYE2300015,https://i.scdn.co/image/ab67616d0000b2739567e1aa41657425d046733b
Snooze,SOS,SZA,USRC12204591,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
BELLAKEO,BELLAKEO,Peso Pluma,QMFMF2388143,https://i.scdn.co/image/ab67616d0000b2736601556a0f7c0b54ded13c9d
Agora Hills,Scarlet,Doja Cat,USRC12301954,https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c
Prada,Prada,cassï¿,GBCEN2300147,https://i.scdn.co/image/ab67616d0000b2734ef3176f3694082721905bb2
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,GXD7G2413058,https://i.scdn.co/image/ab67616d0000b273640d7fe96bc154f78c7493e4
Lil Boo Thang,Lil Boo Thang,Paul Russell,USAR12300323,https://i.scdn.co/image/ab67616d0000b273811b8a1d3649f63af1d5fb65
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,QMFME2364182,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
